ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated,Year,Month,Hour,inter_arrival_minutes
84739160,Parking Meters,360.0,2024-01-01 08:12:00,2021-08-02 14:12:00,19.25,35001564,,,CARD,West Campus,6/9/2023 21:20,2021,August,8,1.0
84739185,Parking Meters,195.0,2024-01-01 08:13:00,2021-08-02 11:28:00,7.75,10000330,,,CARD,Core,6/9/2023 21:20,2021,August,8,1.0
84739189,Parking Meters,240.0,2024-01-01 08:13:00,2021-08-02 12:13:00,10.75,10001032,,,CARD,Core,6/9/2023 21:20,2021,August,8,0.0
84739197,Parking Meters,195.0,2024-01-01 08:14:00,2021-08-02 11:29:00,7.75,20001748,,,CARD,Non-Core,6/9/2023 21:20,2021,August,8,1.0
84854530,Parking Meters,195.0,2024-01-01 08:17:00,2021-08-11 11:32:00,7.75,10000439,,,CARD,Core,5/4/2023 21:35,2021,August,8,3.0
84739274,Parking Meters,60.0,2024-01-01 08:21:00,2021-08-02 09:21:00,2.25,20000929,,,CARD,Non-Core,6/9/2023 21:20,2021,August,8,4.0
84739314,Parking Meters,225.0,2024-01-01 08:21:00,2021-08-02 12:06:00,9.5,10000626,,,CARD,Core,6/9/2023 21:20,2021,August,8,0.0
84776732,Parking Meters,60.0,2024-01-01 08:25:00,2021-08-05 09:25:00,2.25,10000119,,,CARD,Core,5/4/2023 21:34,2021,August,8,4.0
84739332,Parking Meters,375.0,2024-01-01 08:26:00,2021-08-02 14:41:00,20.0,20000935,,,CARD,Non-Core,6/9/2023 21:20,2021,August,8,1.0
84776744,Parking Meters,121.5,2024-01-01 08:26:00,2021-08-05 10:27:00,4.05,35002523,,,COINS,West Campus,5/4/2023 21:34,2021,August,8,0.0
84776764,Parking Meters,570.85,2024-01-01 08:29:00,2021-08-05 17:59:00,36.08,35001557,,,CARD,West Campus,5/4/2023 21:34,2021,August,8,3.0
84843145,Parking Meters,60.0,2024-01-01 08:31:00,2021-08-10 09:31:00,2.25,10000211,,,CARD,Core,5/4/2023 21:35,2021,August,8,2.0
84776813,Parking Meters,75.0,2024-01-01 08:32:00,2021-08-05 09:47:00,2.75,35001562,,,CARD,West Campus,5/4/2023 21:34,2021,August,8,1.0
84831683,Parking Meters,135.0,2024-01-01 08:36:00,2021-08-09 10:51:00,4.75,10000332,,,CARD,Core,5/4/2023 21:35,2021,August,8,4.0
84831679,Parking Meters,210.0,2024-01-01 08:36:00,2021-08-09 12:06:00,8.5,10001002,,,CARD,Core,5/4/2023 21:35,2021,August,8,0.0
84881611,Parking Meters,60.0,2024-01-01 08:37:00,2021-08-13 09:37:00,2.25,10000305,,,CARD,Core,5/4/2023 21:35,2021,August,8,1.0
84831685,Parking Meters,195.0,2024-01-01 08:37:00,2021-08-09 11:52:00,7.75,20000943,,,CARD,Non-Core,5/4/2023 21:35,2021,August,8,0.0
84831716,Parking Meters,150.0,2024-01-01 08:37:00,2021-08-09 11:07:00,5.5,35002531,,,CARD,West Campus,5/4/2023 21:35,2021,August,8,0.0
84831700,Parking Meters,480.0,2024-01-01 08:39:00,2021-08-09 16:39:00,29.25,10000114,,,CARD,Core,5/4/2023 21:35,2021,August,8,2.0
84881727,Parking Meters,554.63336,2024-01-01 08:45:00,2021-08-13 17:59:00,34.98,35001525,,,CARD,West Campus,5/4/2023 21:35,2021,August,8,6.0
84881738,Parking Meters,195.0,2024-01-01 08:45:00,2021-08-13 12:00:00,7.75,10000522,,,CARD,Core,5/4/2023 21:35,2021,August,8,0.0
84881744,Parking Meters,553.63336,2024-01-01 08:46:00,2021-08-13 17:59:00,34.93,35001525,,,CARD,West Campus,5/4/2023 21:35,2021,August,8,1.0
84881740,Parking Meters,90.0,2024-01-01 08:46:00,2021-08-13 10:16:00,3.25,10000810,,,CARD,Core,5/4/2023 21:35,2021,August,8,0.0
84776985,Parking Meters,195.0,2024-01-01 08:47:00,2021-08-05 12:02:00,7.75,35001540,,,CARD,West Campus,5/4/2023 21:34,2021,August,8,1.0
84776991,Parking Meters,195.0,2024-01-01 08:47:00,2021-08-05 12:02:00,7.75,61001608,,,CARD,Rainey,5/4/2023 21:34,2021,August,8,0.0
84776982,Parking Meters,105.0,2024-01-01 08:48:00,2021-08-05 10:33:00,3.75,20001426,,,CARD,Non-Core,5/4/2023 21:34,2021,August,8,1.0
84776995,Parking Meters,150.0,2024-01-01 08:48:00,2021-08-05 11:18:00,5.5,10001051,,,CARD,Core,5/4/2023 21:34,2021,August,8,0.0
