ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated
84695749,Parking Meters,75,7/29/2021 21:38,7/29/2021 22:53,2.75,24002471,,,CARD,East Austin,5/4/2023 21:32
84695751,Parking Meters,90,7/29/2021 21:38,7/29/2021 23:08,3.25,10001201,,,CARD,Core,5/4/2023 21:32
84695753,Parking Meters,139.86667,7/29/2021 21:39,7/29/2021 23:58,4.99,10000227,,,CARD,Core,5/4/2023 21:32
84695754,Parking Meters,138.6,7/29/2021 21:40,7/29/2021 23:59,4.93,10000418,,,CARD,Core,5/4/2023 21:32
84695755,Parking Meters,90,7/29/2021 21:40,7/29/2021 23:10,3.25,10000332,,,CARD,Core,5/4/2023 21:32
84695756,Parking Meters,90,7/29/2021 21:41,7/29/2021 23:11,3.25,10000122,,,CARD,Core,5/4/2023 21:32
84695757,Parking Meters,22.5,7/29/2021 21:41,7/29/2021 22:03,0.75,24002462,,,COINS,East Austin,5/4/2023 21:32
84695759,Parking Meters,137.2,7/29/2021 21:41,7/29/2021 23:59,4.86,61001624,,,CARD,Rainey,5/4/2023 21:32
84695760,Parking Meters,105,7/29/2021 21:41,7/29/2021 23:26,3.75,10001033,,,CARD,Core,5/4/2023 21:32
84695768,Parking Meters,136.83333,7/29/2021 21:42,7/29/2021 23:58,4.84,10001003,,,CARD,Core,5/4/2023 21:32
84695769,Parking Meters,120,7/29/2021 21:42,7/29/2021 23:42,4.25,24002472,,,CARD,East Austin,5/4/2023 21:32
84695771,Parking Meters,135.9,7/29/2021 21:43,7/29/2021 23:59,4.79,10000109,,,CARD,Core,5/4/2023 21:32
84695772,Parking Meters,75,7/29/2021 21:43,7/29/2021 22:58,2.75,10000651,,,CARD,Core,5/4/2023 21:32
84695773,Parking Meters,136.06667,7/29/2021 21:42,7/29/2021 23:58,4.8,24002418,,,CARD,East Austin,5/4/2023 21:32
84695774,Parking Meters,136.1,7/29/2021 21:42,7/29/2021 23:58,4.8,10000309,,,CARD,Core,5/4/2023 21:32
84695777,Parking Meters,90,7/29/2021 21:43,7/29/2021 23:13,3.25,10001051,,,CARD,Core,5/4/2023 21:32
84695778,Parking Meters,135.03334,7/29/2021 21:43,7/29/2021 23:58,4.75,24002445,,,CARD,East Austin,5/4/2023 21:32
84695831,Parking Meters,125.3,7/29/2021 21:53,7/29/2021 23:58,4.42,10001026,,,CARD,Core,5/4/2023 21:32
84695836,Parking Meters,120,7/29/2021 21:54,7/29/2021 23:54,4.25,61001627,,,CARD,Rainey,5/4/2023 21:32
84707287,Parking Meters,22.5,7/30/2021 15:56,7/30/2021 16:19,0.75,26002607,,,COINS,Mueller,5/4/2023 21:32
84707292,Parking Meters,75,7/30/2021 15:55,7/30/2021 17:10,2.75,10001011,,,CARD,Core,5/4/2023 21:32
84707293,Parking Meters,210,7/30/2021 15:55,7/30/2021 17:57,5.25,24002425,,,CARD,East Austin,5/4/2023 21:32
84707299,Parking Meters,60,7/30/2021 15:56,7/30/2021 16:56,2.25,10001033,,,CARD,Core,5/4/2023 21:32
84707301,Parking Meters,75,7/30/2021 15:56,7/30/2021 17:11,2.75,20001408,,,CARD,Non-Core,5/4/2023 21:32
84707307,Parking Meters,90,7/30/2021 15:56,7/30/2021 17:26,3.25,10000303,,,CARD,Core,5/4/2023 21:32
84707314,Parking Meters,122.666664,7/30/2021 15:57,7/30/2021 17:59,4.33,20001723,,,CARD,Non-Core,5/4/2023 21:32
84707315,Parking Meters,60,7/30/2021 15:57,7/30/2021 16:57,2.25,10001001,,,CARD,Core,5/4/2023 21:32
84707329,Parking Meters,60,7/30/2021 15:57,7/30/2021 16:57,2.25,35002522,,,CARD,West Campus,5/4/2023 21:32
84707345,Parking Meters,135,7/30/2021 15:58,7/30/2021 18:13,4.75,24002432,,,CARD,East Austin,5/4/2023 21:32
84707346,Parking Meters,37.5,7/30/2021 15:58,7/30/2021 16:35,1.25,10000844,,,COINS,Core,5/4/2023 21:32
