Scenario,Car_ID,Arrival_Time,Queue_Time,Search_Time,Parking_Duration,Jenis
MANUAL,Car_1799,3391.0,11.00157500603018,15.648165621625607,60.0,Manual
MANUAL,Car_1762,3357.0,12.295488273687624,6.7563383440129705,105.0,Manual
MANUAL,Car_1807,3398.0,9.382199172976016,13.924624908093037,60.0,Manual
MANUAL,Car_1735,3327.0,6.210407894453056,13.62405448073601,135.0,Manual
MANUAL,Car_1810,3401.0,11.68174303226624,10.725165912654951,60.0,Manual
MANUAL,Car_1684,3291.0,1.9676338996014238,12.334740002753435,180.0,Manual
MANUAL,Car_1692,3294.0,2.511374263730886,9.018832264824514,180.0,Manual
MANUAL,Car_1816,3404.0,14.454303239791898,8.860563680869621,60.0,Manual
MANUAL,Car_1821,3406.0,15.74532630699241,6.11604398961214,60.0,Manual
MANUAL,Car_1817,3405.0,13.905276304563813,9.201731853289086,60.0,Manual
MANUAL,Car_1819,3405.0,15.66922174074898,7.438384286138826,60.0,Manual
MANUAL,Car_1818,3405.0,15.09122620355447,9.026307374379375,60.0,Manual
MANUAL,Car_1618,3226.0,0.0,10.195047647340468,255.0,Manual
MANUAL,Car_1814,3402.0,16.121907598118014,13.308751590927534,60.0,Manual
MANUAL,Car_1825,3408.0,16.93527870860771,6.943763579249282,60.0,Manual
MANUAL,Car_1805,3397.0,8.913645271104997,11.815491080852196,75.0,Manual
MANUAL,Car_1824,3408.0,16.831418364302408,8.356421173334006,60.0,Manual
MANUAL,Car_1778,3376.0,8.44698217837231,6.285631002754826,105.0,Manual
MANUAL,Car_1746,3339.0,14.132968135579176,7.672649305167226,135.0,Manual
MANUAL,Car_1826,3408.0,17.713731689119868,12.50090210407681,60.0,Manual
MANUAL,Car_1767,3361.0,11.204819799399502,6.035234796439896,120.0,Manual
MANUAL,Car_1649,3250.0,4.246767678296692,13.23235178454879,231.0,Manual
MANUAL,Car_1838,3421.0,11.639974154640186,7.273097957469698,58.7,Manual
MANUAL,Car_1803,3396.0,8.581807105256757,10.852764304546481,83.566666,Manual
MANUAL,Car_1820,3406.0,15.640383629133794,6.081678776766411,75.0,Manual
MANUAL,Car_1712,3300.0,16.622970713114228,6.576415047040256,180.0,Manual
MANUAL,Car_1660,3259.0,6.246791199904692,13.25288111223416,225.0,Manual
MANUAL,Car_1784,3379.0,8.87751169031344,10.734851215517548,105.0,Manual
MANUAL,Car_1480,3050.0,0.0,4.729633493132864,450.0,Manual
MANUAL,Car_1779,3376.0,8.468344681722556,15.304981060638097,105.0,Manual
MANUAL,Car_1836,3415.0,16.79531332273973,13.38374791153162,60.0,Manual
MANUAL,Car_1783,3378.0,9.349846435725794,12.988787975064149,105.0,Manual
